"symbol","date","open","high","low","close","volume","adjusted"
"ABEV3",2010-01-04,5.932941,6.121129,5.873407,6.113138,818417,4.030631
"ABEV3",2010-01-05,6.073583,6.173071,6.073583,6.149098,1604298,4.05434
"ABEV3",2010-01-06,6.099554,6.212227,6.093161,6.211828,508069,4.095699
"ABEV3",2010-01-07,6.221017,6.240995,6.133116,6.240995,2690516,4.114932
"ABEV3",2010-01-08,6.193049,6.266966,6.154292,6.229008,588159,4.107028
"ABEV3",2010-01-11,6.28974,6.28974,6.1471,6.153094,573142,4.056975
"ABEV3",2010-01-12,6.152694,6.203037,6.034427,6.193049,540606,4.083318
"ABEV3",2010-01-13,6.193049,6.272959,6.153094,6.272959,453007,4.136007
"ABEV3",2010-01-14,6.193448,6.417996,6.178665,6.362858,583153,4.195281
"ABEV3",2010-01-15,6.42359,6.42359,6.273359,6.35207,377923,4.188167
"ABEV3",2010-01-18,6.259774,6.352869,6.259374,6.352869,715802,4.188695
"ABEV3",2010-01-19,6.282149,6.382836,6.281749,6.362059,377923,4.194755
"ABEV3",2010-01-20,6.390427,6.390427,6.184259,6.221417,2667991,4.102024
"ABEV3",2010-01-21,6.221417,6.364057,6.041219,6.270961,633209,4.13469
"ABEV3",2010-01-22,6.177067,6.352869,6.043217,6.352869,310347,4.188695
"ABEV3",2010-01-26,6.185058,6.250984,6.155091,6.240595,688271,4.114667
"ABEV3",2010-01-27,6.193049,6.223814,6.101152,6.17427,523086,4.070937
"ABEV3",2010-01-28,6.259374,6.259374,6.113937,6.18306,2467766,4.076733
"ABEV3",2010-01-29,6.193049,6.252981,5.973295,5.993273,1466644,3.951599
"ABEV3",2010-02-01,6.130719,6.148299,5.957313,6.053206,996116,3.991115
"ABEV3",2010-02-02,6.061596,6.20104,6.061596,6.20104,763355,4.088588
"ABEV3",2010-02-03,6.20104,6.292937,6.140707,6.292937,585656,4.149179
"ABEV3",2010-02-04,6.105547,6.204636,6.021641,6.033228,410460,3.977943
"ABEV3",2010-02-05,5.939333,5.984882,5.761533,5.813475,790886,3.833052
"ABEV3",2010-02-08,5.813475,5.832254,5.739158,5.753542,1739450,3.793536
"ABEV3",2010-02-09,5.793098,5.829856,5.679625,5.736361,1564253,3.782207
"ABEV3",2010-02-10,5.865416,5.865416,5.674031,5.773919,317856,3.80697
"ABEV3",2010-02-11,5.812276,5.913363,5.785506,5.913363,1394062,3.898911
"ABEV3",2010-02-12,5.885394,5.925749,5.789102,5.879001,495555,3.876256
"ABEV3",2010-02-17,5.973295,6.16508,5.973295,6.16508,267800,4.064878
"ABEV3",2010-02-18,6.229008,6.229008,6.093161,6.123527,422974,4.037481
"ABEV3",2010-02-19,6.064793,6.171473,6.064793,6.145902,337878,4.052232
"ABEV3",2010-02-22,6.136712,6.136712,6.065991,6.118333,165185,4.034057
